Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Celta de Vigo,3,78,78,78,19,Athletic Club,1,81,79,78,10,05/11/2017,16:15,11,2
Levante,1,75,76,75,11,Girona,2,79,76,75,11,05/11/2017,18:30,11,0
Villarreal,2,79,79,80,16,Málaga,0,75,75,75,6,05/11/2017,18:30,11,2
Real Madrid,3,86,86,86,19,Las Palmas,0,77,74,75,8,05/11/2017,20:45,11,2
Girona,1,79,76,75,13,Real Sociedad,1,80,78,76,24,17/11/2017,21:00,12,1
Leganés,0,74,75,74,9,Barcelona,3,93,84,84,30,18/11/2017,13:00,12,0
Sevilla,2,80,80,79,12,Celta de Vigo,1,78,78,78,22,18/11/2017,16:15,12,2
Atlético de Madrid,0,85,82,83,16,Real Madrid,0,86,86,86,22,18/11/2017,18:30,12,1
Getafe,4,75,74,75,15,Alavés,1,77,75,74,5,18/11/2017,20:45,12,2
Athletic Club,1,81,79,78,11,Villarreal,1,79,79,80,18,19/11/2017,12:00,12,1
Málaga,3,75,75,75,6,Deportivo de La Coruña,2,79,77,77,13,19/11/2017,16:15,12,2
Espanyol,0,79,78,76,9,Valencia,2,80,80,80,30,19/11/2017,18:30,12,0
Las Palmas,0,77,74,75,8,Levante,2,75,76,75,12,19/11/2017,20:45,12,0
Eibar,5,77,78,75,6,Betis,0,79,79,76,21,20/11/2017,21:00,12,2
Celta de Vigo,1,78,78,78,23,Leganés,0,74,75,74,9,24/11/2017,21:00,13,2
Levante,0,75,76,75,14,Atlético de Madrid,5,85,82,83,16,25/11/2017,13:00,13,0
Real Madrid,3,86,86,86,22,Málaga,2,75,75,75,9,25/11/2017,16:15,13,2
Betis,2,79,79,76,21,Girona,2,79,76,75,14,25/11/2017,18:30,13,1
Alavés,1,77,75,74,6,Eibar,2,77,78,75,11,25/11/2017,20:45,13,0
Villarreal,2,79,79,80,19,Sevilla,3,80,80,79,14,26/11/2017,12:00,13,0
Deportivo de La Coruña,2,79,77,77,15,Athletic Club,2,81,79,78,12,26/11/2017,16:15,13,1
Valencia,1,80,80,80,32,Barcelona,1,93,84,84,33,26/11/2017,18:30,13,1
Real Sociedad,2,80,78,76,25,Las Palmas,2,77,74,75,8,26/11/2017,20:45,13,1
Espanyol,1,79,78,76,9,Getafe,0,75,74,75,19,27/11/2017,21:00,13,2
Málaga,0,75,75,75,11,Levante,0,75,76,75,14,01/12/2017,21:00,14,1
Sevilla,2,80,80,79,17,Deportivo de La Coruña,0,79,77,77,17,02/12/2017,13:00,14,2
Atlético de Madrid,2,85,82,83,21,Real Sociedad,1,80,78,76,27,02/12/2017,16:15,14,2
Barcelona,2,93,84,84,34,Celta de Vigo,2,78,78,78,24,02/12/2017,18:30,14,1
Athletic Club,0,81,79,78,14,Real Madrid,0,86,86,86,25,02/12/2017,20:45,14,1
Las Palmas,1,77,74,75,10,Betis,0,79,79,76,23,03/12/2017,12:00,14,2
Getafe,1,75,74,75,19,Valencia,0,80,80,80,33,03/12/2017,16:15,14,2
Leganés,3,74,75,74,9,Villarreal,1,79,79,80,21,03/12/2017,18:30,14,2
Eibar,3,77,78,75,13,Espanyol,1,79,78,76,10,03/12/2017,20:45,14,2
Girona,2,79,76,75,16,Alavés,3,77,75,74,7,04/12/2017,21:00,14,0
Alavés,2,77,75,74,10,Las Palmas,0,77,74,75,11,08/12/2017,21:00,15,2
