Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Villarreal,3,79,81,79,6,Osasuna,1,75,73,73,4,2016-09-25,18:30,6,2,8500A,"17,3","21,8","26,2","0,0","1013,3","1016,6","2,2","6,1"
Espanyol,0,78,77,76,9,Celta de Vigo,2,79,79,78,3,2016-09-25,20:45,6,0,0076,"17,6","21,6","25,7",Ip,"1018,2","1022,2","6,4","16,9"
Alavés,3,73,76,75,4,Granada,1,78,73,72,6,2016-09-26,20:45,6,2,9091R,"8,4","16,8","25,2","0,0","961,2","966,2","1,7","8,3"
Real Sociedad,1,79,78,76,8,Betis,0,79,76,74,8,2016-09-30,20:45,7,2,1014A,"17,8","23,6","29,5","12,8","1012,0","1019,0","2,5","7,8"
Granada,0,78,73,72,7,Leganés,1,74,76,75,6,2016-10-01,13:00,7,0,5530E,"10,9","20,4","29,8","0,0","948,0","951,2","1,9","7,8"
Sevilla,2,80,81,80,11,Alavés,1,73,76,75,7,2016-10-01,16:15,7,2,5783,"17,1","24,2","31,2","0,0","1008,9","1012,0","2,5","8,9"
Osasuna,2,75,73,73,5,Las Palmas,2,77,79,76,14,2016-10-01,18:30,7,1,9263D,"12,2","16,8","21,5",Ip,"960,3","964,5","4,4","11,4"
Deportivo de La Coruña,2,77,77,76,3,Sporting de Gijón,1,75,73,73,5,2016-10-01,20:45,7,2,1387,"13,8","16,8","19,7","0,0","1007,9","1010,3","3,9","9,2"
Valencia,0,78,79,79,9,Atlético de Madrid,2,84,82,84,12,2016-10-02,12:00,7,0,8414A,"16,3","21,6","26,9","0,0","1005,7","1011,4","2,5","7,2"
Real Madrid,1,88,86,86,15,Eibar,1,78,77,76,8,2016-10-02,16:15,7,1,3195,"13,5","19,8","26,2","0,0","937,8","941,3","1,4","8,1"
Espanyol,0,78,77,76,9,Villarreal,0,79,81,79,9,2016-10-02,18:30,7,1,0076,"19,6","22,6","25,7","7,7","1013,8","1019,7","3,1","10,3"
Málaga,2,77,77,76,5,Athletic Club,1,80,81,79,9,2016-10-02,18:30,7,2,6156X,"18,1","22,8","27,5","0,0","1008,0","1012,7","2,5","6,9"
Celta de Vigo,4,79,79,78,5,Barcelona,3,92,85,83,19,2016-10-02,20:45,7,2,1495,"9,5","14,7","19,9","0,0","986,0","989,6","2,8","7,2"
